TIPO;ESTADO;RED;NOMENCLATURA;EQUIPO A;EQUIPO B;DEPENDENCIA;DIRECCION;LATITUD;LONGITUD;LOCALIDAD;PROVINCIA;ACOMETIDA 1;ACOMETIDA 2;TRIBUTARIO;CONEXIÓN OTRAS DEPENDENCIAS;OTRAS DEPENDENCIAS;SERVICIOS REGULARIZADOS;INFRAESTRUCTURA INSTALADA;OBSERVACIONES;MIGRAR;EJECUTIVO DE CUENTA
Nodo;ACTIVO;REFEFO AMBA;CIU15AC11;CIU65AG11H;CBA2AG11H;Secretaria Legal y Tecnica;Suipacha 767;-34,599355;-58,379484;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;NO;NO;-;SI;"1) Doble acometida FO
2) Cámara Frontera
3) ODF 24 PD LC
6) ATN910B
7) Rectificador
*Todo en Rack del Organismo";El ATN se encuentra en el mismo DC donde está el equipo de borde del cliente.;OK;Sin Asignación
Nodo;EN OBRA;REFEFO AMBA;CIU18AC11;NN;NN;PAMI;Paraná 555;-34,602329;-58,387867;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;NN;NN;-;NO;A DEFINIR;90/120 días de Obra;NO;María del Mar Andrada
Nodo;EN OBRA;REFEFO AMBA;CIU19AC11;NN;NN;Universidad de Buenos Aires;Uriburu 860;-34,598855;-58,399250;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;NN;NN;-;NO;A DEFINIR;90/120 días de Obra;NO;Julio Bort
Nodo;ACTIVO;REFEFO AMBA;CIU28AC11;CIU33AC11;CIU28AC11;Ministerio de Ambiente;San Martin 451 Piso 5;-34,602557;-58,373768;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;NO;NO;-;NO;"1) Doble acometida FO
2) Cámara Frontera
3) ODF 24 PD LC
6) ATN910B
7) Rectificador
*Todo en Rack del Organismo";El ATN se encuentra en el mismo DC donde está el equipo de borde del cliente.;SI;Pablo Olivera
Nodo;ACTIVO;REFEFO AMBA;CIU30AC11;CIU65AG11H ;CIU38AC11;Ministerio de Seguridad;México 12;-34,614749;-58,367239;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;SI;SI;PFA, Prefectura;SI;"1) Una acometida FO
2) Cámara Frontera
3) Gabinete Indoor Fiberhome
6) ATN910B";Se conecta localmente en el mismo DC dde está el ATN;SI;Miguel Tobia
ODF;ACTIVO;REFEFO AMBA;CIU30AC11;-;-;PFA;México 12;-34,614749;-58,367239;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;SI;NO;-;SI;Cable Puente;Actualmente consumen servicio a través de los Cisco ASR100X de la MAN 2.0;SI;Miguel Tobia
ODF;ACTIVO;REFEFO AMBA;CIU30AC11;-;-;Prefectura;México 12;-34,614749;-58,367239;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;SI;NO;-;SI;Cable Puente;Actualmente consumen servicio a través de los Cisco ASR100X de la MAN 2.0;SI;Miguel Tobia
Nodo;ACTIVO;REFEFO AMBA;CIU31AC11;CIU65AG11H;CIU34AC11;Ministerio de Trabajo;Av. Leandro N. Alem 650 Piso 9;-34,600310;-58,370901;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;NO;NO;-;SI;"1) Doble acometida FO
2) Cámara Frontera
3) ODF 24 PD LC
6) ATN910B
7) Rectificador
*Todo en Rack del Organismo";Se conecta localmente en el mismo DC dde está el ATN;SI;Pablo Olivera
Nodo;SUSPENDIDO;REFEFO AMBA;CIU32AC11;NN;NN;Cancillería;Esmeralda 1216;-34,593861;-58,378867;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;NN;NN;-;NO;"Obra de FO interna
del Edificio terminada
Falta Obra Civil en vereda
y llegar con el CableTroncal";"A Integrar 45/60 días 
Se conecta localmente en el mismo DC dde está el ATN";NO;Sin Asignación
Nodo;ACTIVO;REFEFO AMBA;CIU33AC11;CIU46AC11;CIU28AC11;Sedronar;Sarmiento 546;-34,604555;-58,374463;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;NO;NO;-;SI;"1) Doble acometida FO
2) Cámara Frontera
3) ODF 24 PD LC
6) ATN910B
7) Rectificador
*Todo en Rack del Organismo";El ATN se encuentra en el mismo DC donde está el equipo de borde del cliente.;OK;Pablo Olivera
