TIPO;ESTADO;RED;EQUIPO A;EQUIPO B;EQUIPO C;DEPENDENCIA;DIRECCION;LATITUD;LONGITUD;LOCALIDAD;PROVINCIA;ACOMETIDA 1;ACOMETIDA 2;TRIBUTARIO;CONEXIÓN OTRAS DEPENDENCIAS;OTRAS DEPENDENCIAS;SERVICIOS REGULARIZADOS;OBSERVACIONES;MIGRAR
Nodo;ACTIVO;REFEFO AMBA;CIU30AC11;CIU65AG11H ;CIU38AC11;Ministerio de Seguridad;México 12;-34,614749;-58,367239;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;SI
ODF;ACTIVO;REFEFO AMBA;CIU30AC11;-;-;PFA;México 12;-34,614749;-58,367239;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;SI
ODF;ACTIVO;REFEFO AMBA;CIU30AC11;-;-;Prefectura;México 12;-34,614749;-58,367239;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;SI
Nodo;ACTIVO;REFEFO AMBA;CIU67AC11;CIU10AC11;CIU49AC11 ;SIP;Av. Pres. Roque Sáenz Peña 788;-34,606181;-58,377545;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;SI
Nodo;ACTIVO;REFEFO AMBA;CIU46AC11;CIU49AC11;CIU33AC11 ;RENAPER;Av. Pres. Roque Sáenz Peña 671;-34,606379;-58,376119;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;
Nodo;ACTIVO;REFEFO AMBA;CIU15AC11;CIU65AG11H;CBA2AG11H;Secretaria Legal y Tecnica;Suipacha 767;-34,599355;-58,379484;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;
Nodo;ACTIVO;REFEFO AMBA;CIU45AC11;CIU65AG11H;CBA2AG11H;Casa Rosada;Balcarce 50;-34,608580;-58,370289;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;SI
ODF;ACTIVO;REFEFO AMBA;CIU45AC11;-;-;Sec. Legal Y Técnica y otros;Balcarce 50;-34,608580;-58,370289;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;SI
Nodo;ACTIVO;REFEFO AMBA;CIU34AC11;CIU31AC11;CBA2AG11H;Ministerio del Interior;Leandro N. Alem 168 PB;-34,605602;-58,370340;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;SI
ODF;ACTIVO;REFEFO AMBA;CIU34AC11;-;-;Comisión Nacional de Valores;25 de Mayo 175;-34,605884;-58,370546;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;CONTRATA TERCEROS ACTUALMENTE;SI
Nodo;ACTIVO;REFEFO AMBA;CIU79AC11;CIU35AC11;CIU79AC11;Empleo Público;Av. Pres. Roque Sáenz Peña 511;-34,607592;-58,373823;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;SI
